index,name,profile
1,glm_4_air,"GLM-4-Air is released on 2024-06-05 by Zhipu AI, a Chinese AI startup. Best cost-performance model, similar overall performance to GLM-4, with 128k context, fast and affordable. Pre-training corpus consists of multilingual (mostly English and Chinese) documents from a mixture of different sources."
2,glm_4_flash,"GLM-4-Flash is released for free use in 2024 by Zhipu AI, a Chinese AI startup. Suitable for simple tasks, fastest speed, most affordable version, with 128k context."
3,glm_4_plus,"GLM-4-Plus is released for use on 2024-08-30 by Zhipu AI, a Chinese AI startup. It's latest base Large Model of Zhipu AI, representing a comprehensive enhancement in language understanding, instruction following, and long-text processing, maintaining an internationally leading level of performance, which demonstrates powerful visual capabilities comparable to OpenAI GPT-4."
4,gpt_4o,"GPT-4o is released by OpenAI on May 13, 2024. GPT-4o is a flagship multimodal language model capable of processing text, images, and audio inputs. It features a context window of 128,000 tokens and supports up to 16,000 output tokens per request. The model’s training data includes diverse sources up to October 2023, enhancing its language understanding and generation capabilities."
5,gpt_4o_mini,"GPT-4o Mini is introduced by OpenAI on July 18, 2024. GPT-4o Mini is a streamlined, cost-effective version of GPT-4o. It maintains a 128,000-token context window and supports up to 16,000 output tokens per request. Designed for efficiency, GPT-4o Mini offers competitive performance in reasoning, coding, and multimodal tasks, making it suitable for a wide range of applications."
6,deepseek_coder,"DeepSeek Coder: Released by DeepSeek AI (China) in June 2024, it is an open-source series of code language models designed to enhance code intelligence in software development. The models range from 1.3 billion to 33 billion parameters and are trained from scratch on 2 trillion tokens, with a composition of 87% code and 13% natural language in both English and Chinese. They feature a context window of 16,000 tokens and support project-level code completion and infilling. DeepSeek Coder has demonstrated performance comparable to GPT-4 Turbo in code-specific tasks."
7,deepseek_chat,"DeepSeek Chat: Released by DeepSeek AI (China) in December 2024, it is an advanced conversational AI model designed to facilitate human-like interactions. Leveraging the architecture of DeepSeek V3, a 685 billion parameter model, DeepSeek Chat offers versatile and cost-efficient performance, outperforming models like GPT-4o and Llama 3.1. It is trained on a diverse dataset, enabling it to understand and generate human-like text across various domains."
8,qwen25_32b_int4,"Qwen2.5-32B-Instruct-GPTQ-Int4: Released by Alibaba Cloud’s Qwen team (China), this is a 32.5 billion parameter instruction-tuned model, quantized to 4-bit precision using GPTQ for efficient inference. It features a context length of up to 131,072 tokens, facilitating long-context understanding and generation."
9,qwen25_7b_instruct,"Qwen2.5-7B-Instruct: This 7.61 billion parameter instruction-tuned model from Alibaba Cloud’s Qwen team (China) is designed for general-purpose language understanding and generation. It incorporates advanced architectural features and supports a context length of up to 131,072 tokens, enabling effective handling of long texts."
10,qwen25_72b_instruct,"Qwen2.5-72B-Instruct: Part of the Qwen2.5 series by Alibaba Cloud (China), this 72 billion parameter instruction-tuned model is tailored for complex language tasks requiring extensive understanding and generation capabilities. It benefits from a large-scale pretraining dataset and advanced architectural design, supporting long-context processing."
11,qwq_32b_preview,"QwQ-32B-Preview is an experimental research model developed by the Qwen Team (China), released in November 2024. It focuses on advancing AI reasoning capabilities, particularly in mathematics and programming. The model has 32.5 billion parameters and a context window of 32,768 tokens. It employs a dense transformer architecture with advanced components such as Rotary Position Embedding (RoPE), SwiGLU activation functions, RMSNorm normalization, and Attention QKV bias."
12,qwen25_math_7b_instruct,Qwen2.5-Math-7B-Instruct: This 7 billion parameter instruction-tuned model from Alibaba Cloud’s Qwen team is designed specifically for mathematical problem-solving and reasoning tasks. It is trained on a specialized mathematical dataset to enhance its proficiency in handling complex mathematical queries.
13,qwen_math_plus,Qwen-Math-Plus: this model is tailored for high-level mathematical reasoning and problem-solving by Alibaba Cloud (China). It incorporates enhanced training techniques and a specialized dataset to achieve superior performance in mathematical tasks.
14,llama31_8b_instruct,"Llama3.1-8B-Instruct: Released by Meta AI in September 2024, this 8-billion parameter instruction-tuned model is designed to excel in various natural language understanding and generation tasks. It supports a context length of up to 128,000 tokens, enabling the processing of extensive inputs. The model has been fine-tuned on a diverse dataset to enhance its performance in following instructions across multiple domains."
15,llama31_70b_instruct,"Llama3.1-70B-Instruct: Also released by Meta AI in September 2024, this 70-billion parameter instruction-tuned model offers enhanced capabilities in understanding and generating human-like text. With a context length support of up to 128,000 tokens, it is well-suited for complex tasks requiring deep comprehension and extended context handling. The model has been fine-tuned to improve its instruction-following abilities across various applications."
16,llama31_405b_instruct,"Llama3.1-405B-Instruct: This is the largest model in the Llama3.1 series, released by Meta AI in September 2024, featuring 405 billion parameters. It is designed to provide state-of-the-art performance in natural language processing tasks, with a focus on instruction-following capabilities. The model supports a context length of up to 128,000 tokens, making it suitable for highly complex and extended tasks. Fine-tuned on an extensive and diverse dataset, it aims to deliver superior performance across a wide range of applications."
17,mixtral_8x7b_instruct,"Mixtral-8x7B-Instruct: Released by Mistral AI in December 2023, Mixtral-8x7B-Instruct is an ensemble model comprising eight 7-billion parameter models, totaling 56 billion parameters. It is designed to deliver enhanced performance across various natural language processing tasks by leveraging the strengths of multiple models. This architecture allows for improved accuracy and robustness in understanding and generating human-like text."
18,mistral_7b_instruct_v02,"Mistral-7B-Instruct-v0.2: Released by Mistral AI on March 23, 2024, Mistral-7B-Instruct-v0.2 is an instruction-tuned language model with 7 billion parameters. It has been fine-tuned to understand and execute specific instructions effectively, making it suitable for applications such as chatbots, virtual assistants, and task-oriented dialogue systems. The model supports a context window of up to 32,000 tokens, enabling it to process and maintain coherence over longer text sequences."
19,ministral_8b_instruct_2410,"Ministral-8B-Instruct-2410: Released by Mistral AI on October 16, 2024, Ministral-8B-Instruct-2410 is an 8-billion parameter instruction fine-tuned language model. It is designed to significantly outperform existing models of similar size, offering a context window of up to 128,000 tokens. The model has been trained on a diverse dataset, including a substantial proportion of multilingual and code data, enhancing its versatility across various domains."
20,gemini15_flash,"Gemini 1.5 Flash, released by Google in 2024, is a lightweight model optimized for speed and efficiency. It excels in handling high-volume, high-frequency tasks such as summarization, chat applications, and data extraction from long documents and tables, making it suitable for applications requiring quick processing and scalability."
21,gemini15_pro,"Gemini 1.5 Pro, also released by Google in 2024, is designed for complex tasks requiring advanced reasoning and analysis. It offers enhanced capabilities for long-context reasoning, integration with AI Studio, and adherence to ethical guidelines, making it ideal for developers working on sophisticated AI projects."
22,claude35_haiku20241022,"Claude 3.5 Haiku 20241022 is a large language model developed by Anthropic, released on October 22, 2024. It features advanced natural language understanding and generation capabilities, supports multiple languages, and is designed to provide efficient and accurate text processing for a wide range of applications, including customer service, content creation, and educational tools."
23,moonshot_v1_search,"**This version (Moonshot V1 Search) can use search tools for enhancement**. Moonshot V1 is a series of advanced language models developed by Moonshot AI, released in 2024. It includes models like moonshot-v1-8k, moonshot-v1-32k, and moonshot-v1-128k, each designed for different text generation tasks. These models excel in semantic understanding, instruction following, and text generation, supporting various context window lengths to accommodate short, long, and ultra-long text generation scenarios."
24,gpt_4o_mini_cot,"**This version (GPT-4o Mini COT) is enhanced by using Chain of thoughts**. GPT-4o Mini is introduced by OpenAI on July 18, 2024. GPT-4o Mini is a streamlined, cost-effective version of GPT-4o. It maintains a 128,000-token context window and supports up to 16,000 output tokens per request. Designed for efficiency, GPT-4o Mini offers competitive performance in reasoning, coding, and multimodal tasks, making it suitable for a wide range of applications."
25,llama31_8b_instruct_cot,"**This version (Llama3.1-8B-Instruct COT) is enhanced by using Chain of thoughts** Llama3.1-8B-Instruct: Released by Meta AI in September 2024, this 8-billion parameter instruction-tuned model is designed to excel in various natural language understanding and generation tasks. It supports a context length of up to 128,000 tokens, enabling the processing of extensive inputs. The model has been fine-tuned on a diverse dataset to enhance its performance in following instructions across multiple domains."
